actual,text,prediction
0,Es geht nix echt schrot war mal besser war echt zufriden aber jetzt Müll,0.0
1,"So führte das der Türkei direkt benachbarte Aserbaidschan bereits im Dezember 1991 das – um fünf Zusatzzeichen ergänzte – Türkei-türkische Alphabet verbindlich ein, das ebenfalls „Neues türkisches Alphabet“ genannt wurde.",1.0
2,"Schönes Hotel Das Hotel ist sehr schön.Man sollte sich von dem äußeren des Hotels nicht abschrecken lassen, von innen ist wirklich alles frisch und modern.Das Essen ist auch abwechslungsreich und für jeden ist was dabei.Poolanlage ist super gepflegt und zum schönen Sandstrand sind es nur wenige gehminuten.Das Personal ist sehr nett und spricht auch gut deutsch.Die Spaß und einkaufsmeile die nach wenigen Minuten erreicht ist,ist was für groß und klein.Ein wirklich gelungener Urlaub für meine Männer und mich.wir hatten viel Spaß und kommen gerne wieder.",2.0
1,"Dabei wird das Wort Desafinado zwar nicht wörtlich gesungen, doch zur verstimmten Musik wird von einer leicht verstimmten Liebe berichtet, die zu zerfallen droht.",1.0
1,Die Verantwortlichen des Museums gingen sogar noch weiter.,1.0
2,"Alle sehr nett und zuvorkommend, guter Service beim Frühstück, die Restaurants haben wir nicht besucht (die kleinen Garküchen waren zu verlockend)Am Strand kann man Speisen und Getränke von der Liege aus ordern, alles wird sofort gebracht.Es gibt genug Liegen und zwei Junge Männer schleppen Liegen und Sonnenschirme dorthin wo man gerne liegen möchte, sollte mal kein Schattenplatz mehr frei sein.Leider auch hier Malle Syndrom, habe schon morgens um 6 Uhr Gäste mit Handtüchern am Strand Liegen reservieren gesehen, VÖLLIG UNNÖTIG!",2.0
2,Super App,2.0
1,"Diese soll durch eine Schleuse, die den Höhenunterschied von drei Metern überwinden soll, schiffbar werden.",1.0
2,"Sehr schönes Hotel Wir haben uns sehr wohl gefühlt, alle haben sich um uns Deutsche wirklich sehr gekümmert, wirklich schade, dass auf Grund des Anschlages im Juni sehr wenig Deutsche Gäste da waren, zudem war das Hotel max. zu 50% belegt, was aber der Stimmung überhaupt keinen Abbruch gemacht hat.Wir erhielten als Bonus ein DZ im obersten Stock mit direkten Blick auf den tollen Pool und das Meer, da sagt man gerne nochmal danke!Zimmer war sauber und alles in Ordnung.Auch der Umstand, dass aufgrund der fehlenden Gäste aus Europa mit algerischen Gästen teilweise aufgefüllt wurde, war ok, man muss als Europäer ab und an über die manchmal befremdliche Mentalität hinwegsehen, wahrscheinlich ist es andersrum genauso, und es sind uns jetzt keine besonders störenden Punkte aufgefallen, bis auf den manchmal nicht nachvollziehbaren Umgang mit dem Essen, hier wurden die Teller vollgeladen und dann das meiste nicht gegessen und wanderte dann leider in den Müll.Gesamtes Personal war sehr freundlich und zuvorkommend, Animation nie zu aufdringlich, alle wirklich freundlich und motivierend und es hat immer Spaß gemacht bei den verschiedensten Angeboten mitzumachen.Auch die Umgebung von Hammamet Yasmine ist sehr sehenswert, besonders zu empfehlen: ein Spaziergang in den Yachthafen oder in die Medina, alles wirklich sehr schön gemacht.Und die tunesischen Verkäufer sind auch nicht aufdringlicher als in anderen Urlaubsländern, man muss ihnen halt klar und deutlich sagen, ob man was kaufen möchte oder erst nur schauen mag.Das Wetter war auch traumhaft, es hat sogar einmal so richtig gewittert, direkt am Meer, sehr imposant und anschließend war es wieder sonnig und zu jeder Zeit warm, eine Jacke oder Pullover wurde Abends nie benötigt.Da die Deutschen ja bekanntermaßen nichts perfekt finden, hier ein paar kleine Verbesserungsvorschläge für den Hotelier:-Iberostar und kleine Plastik Tee Löffel im Hauptrestaurant passt irgendwie nicht so ganz zusammen. An einem Tag gab es richtige Teelöffel aus Metall, es geht also doch!-Nachmittags gibt es immer Crepes, auch da wurden Plastikteller verwendet, die dann beim kleinsten Windstoss von den Tischen wehten und dann überall rumlagen, warum wird hier nicht etwas hochwertiges Mehrweg Plastikgeschirr verwendet?(Normales Porzellan fällt wahrscheinlich öfters auf den Boden und zerspringt, aber das Hotel verfügt über eine ISO Umwelt-Zertifizierung, da sollte Mehrweg Pflicht sein!-Die Getränke wurden meist aus Einwegplastikflaschen ausgeschenkt, erstens schmecken die Getränke nach einer Zeit nicht mehr und das verursacht sehr viel Müll, das Bier kommt doch auch aus dem Fass und für nicht alkoholische Getränke, sollte das auch der Fall sien.-Die frei zugänglichen Toiletten wurden teilweise zu unregelmäßig kontrolliert, manchmal konnte man sie nicht benutzen!-Der Strandabschnitt sollte regelmäßig gesäubert werden, so lagen teilweise Plastikflaschen direkt vorne am Wasser und im Meer schwamm ab und an Plastikmüll, der mit einem Käscher leicht zu entfernen wäre.Das sind alles Kleinigkeiten, die aber das sonst sehr gute Gesamtbild des Hotels stören und durch einfaches Qualitätsmanagement leicht abgestellt werden könnten!",2.0
2,"Geiler Urlaub Das Hotel ist an und für sich nur zu empfehlen. Wir hatten alle Möglichkeiten von entspannt am Strand liegen über sportliche Aktivitäten welche von den Animateuren angeboten wurden bis hin zu Ausflügen und Massage.Das Personal war IMMER freundlich und hilfsbereit und auch immer zu einem Spass aufgelegt.Die Zimmer wurden täglich gereinigt und jeden Tag ein anderes Tier aus den Handtüchern gefaltet.Einen kleinen Abzug muss ich dennoch anbringen. Auf Nachfrage wurde mir versichert, dass ich mit EC-Karte bezahlen könnte. Leider funktionierte dies nicht was zu Unannehmlichkeiten führte.",2.0
2,"Die Freundlichkeit des Hotelpersonals und der Servicekräfte am Pool und im Restaurand war absolut klasse! Bereits bei der Ankunft begrüßten und Marianna und Jannis mit einem O-Saft und erklärten uns alles Wichtige rund um das Hotel. Jannis ist ohnehin jeden Tag in der Hotelanlage auf Achse und hat immer ein offenes Ohr für Fragen der Urlauber. So eine Betreuung habe ich noch nie erlebt. Die meisten Mitarbeiter sprechen Deutsch und falls nicht, dann Englisch. Die Zimmerreinigung war vollkommen ok und es wurde sich sogar Zeit genommen, die Handtücher auf dem Bett in verschiedene Formen zu falten. Egal wo und wann man etwas wissen wollte, das Personal stand immer mit Rat und Tat freundlich bereit und hat versucht zu helfen.",2.0
2,"Stilvolle Hotel-Anlage mit einigen Gästen ohne Sti Mit ca. 270 Zimmern war das Hotel eines der kleinsten auf Djerba, aber für uns - extra deswegen und wegen der stilvollen Anlage ausgesucht - absolut ideal. Wir schwärmen eher für noch kleinere Hotels, müssen aber dazu sagen, dass dann wahrscheinlich das Angebot hinsichtlich der Aktivitäten (Gymnastik, Tanzkurse usw.) und des Wellnessbereichs eher gering gewesen wäre. Unser Zimmer und das Hotel insgesamt waren sauber, hier sind besonders die Sauberkeit  und der Zustand aller Toiletten im Hotel hervorzuheben. Unser Zimmer war ausreichend groß und der Blick auf's Meer und den fast immer strahlend blauen Himmel war wunderbar. Das Hotel konnte nur mit All-inclusive gebucht werden, was wir nicht gerne mögen, da es dann oft Gäste gibt, die den Urlaub von morgens bis abends im Hotel mit ""essen und trinken"" verbringen und je nachdem von uns als störend empfunden werden - je nach Alkoholpensum. Dies war hier jedoch kaum der Fall, außer dass sich immer 'mal wieder Personen in der Eingangshalle auf die Sofas legten statt ordentlich zu setzen. Überwiegend waren Franzosen im Hotel im Alter von 60 Jahren aufwärts, aber auch Franzosen, Belgier, Deutsche verschiedenen Alters: 20 Jahre bis 90 Jahre",2.0
2,"An den Zimmern ist nichts auszusetzen.Die Möbelierung ist sehr geschmackvoll.Minibar wird täglich aufgefüllt.Die Sauberkeit, Wäschewechsel usw. perfekt.Grösse ist ausreichend.",2.0
0,Nie mehr Torre Azul Um mich kurz zu fassen Hotel Gesamtnote sehr schlecht Essen kann man bereits nach 2 Tagen nicht mehr essen schmeckt nicht und man weiss nie was es ist. Der Pool oder besser gesagt die Badewanne 10 Personen und der Pool ist überfüllt. Was wir erst am 2ten Tag endeckt haben war das einzig essbare in diesen Hotel Hamburger und Hot Dog um die Mittagszeit was man spätestens am 4 Tag nicht mehr essen kann .P. s Mit Fleischdurchbraten habens die Angestellten wohl nicht so .Die Bar: Naja Plastikbecher seh ich ja noch ein wegen mir was solls aber dann noch zu den mini Plastikbechern 0. 2l ungefähr die Hälfte Eis (Vorsicht Chlor Alarm) geht ja garnicht und wenn man mehr als drei betsellen möchte gibts nichts mehr zu trinken das darf man in einen 3 Sterne ALL inklusive Hotel anscheinend nicht und wehe man stellt sich extra 20 minuten vor elf uhr abends and der Bar an um noch etwas zu bekommen punkt 23 uhr is schluss egal wie lange man wartet vor elf uhr man bekommt nur noch etwas gegen Teuros .Die Zimmer: Das enzige an diesen Hotel was in ordnung warSauber und die Putzfrau war jeden tag da hat geputzt Handtücher ausgetauscht. Das Bad: Normalerweise wenn ich aus Pool oder Meer komme möchte ich mich mit Süsswasser duschen kann man hier nicht den das Wasser besteht aus 70% reinem Natriumhypochlorit(Chlor) was das Duschen zu einem besonderen Erlebnis macht. Rezeption:Schön eingerichtet alles aus Holz und einer der wenigen freundlichen mitarbeiter arbeitet dort der auch man glaubt es kaum Englisch und etwas deutsch kann was man vom rest nicht behaupten kann den dort wird spanisch gelästert .Safe : Ja einen Safe gibt es auch zum Schnäpchen preis von 15Euros in der Woche:Lage:Wie auch in der beschreibung auf einen Berg nur das es neben dem Ghetto liegt stand dort nicht .P. s Der Berg geht einem nach einer Woche mächtig auf die Nerven da man sowieso am Ballerman -2 liegt und soviel dort läuft wie im ganzen Jahr nicht um überhaupt irgendwo hin zu gelangen. Ballerman 6 usw liegen recht wiet entfernt.,0.0
2,"Das Hotel ist sehr schön gelegen auf einem Plateau. Nachteil ist der Lange und steile Weg in die Stadt. Also nur mit Mietwagen zu Empfehelen. Wenn jemand nur Party haben möchte ist das das falsche Hotel, also eher was für die Totale Entspannung das es im Hotel auch eher ruhig zugeht.Einkaufen ist kein Problem nächster Supermarkt ist gleich am Anfang vom Dorf.Ausflugmöglichkeiten sind auch genügend vorhanden, allerdings ist die Insel nicht in 5 Tagen zu schaffen",2.0
1,Dies war die stärkste Panzerung zu dieser Zeit und machte Lorraine mit einem Gewicht von 75 Tonnen zum schwersten Panzerkampfwagen der jemals operativ war.,1.0
0,"und somit kann ich die App nicht mal installieren. Huawei g700, und das ist bitteschön kein Billig Modell. Forget IT!",0.0
1,Ab 1958 wurde der „Saßnitz-Express“ auf einen lokbespannten Wagenzug umgestellt.,1.0
2,"Das Personal ist nett und immer für einen Spaß zu haben. Versteht sich von selbst, dass man auch im All Inclusive Urlaub mal ab und zu ein Trinkgeld springen lassen sollte, dann sind die Mischen auch besser und man kommt schneller dran ;-)",2.0
1,Mit dem Club d’Echecs de Genève nahm er 2012 auch am European Club Cup teil und erreichte das beste Ergebnis am ersten Brett.,1.0
2,Urlaub zum Wohlfühlen Das Hotel ist im ganzen sehr ansprechend und gepflegt.,2.0
0,Die Zimmer sind recht klein und spärlich möbliert. Balkon ist mini. Die Zimmer sind dringend renovierungsbedürftig und unsauber. In ganz schlimmen Zustand sind insbesondere die Badezimmer. Ekelfaktor!,0.0
1,alt und abgewohnt aber zweckmäßig oksafe kostenlos Fön täglich wasserflaschen gratis,1.0
1,"Durch einen magischen Trunk gelingt es ihr, Lancelot in Gestalt der von ihm begehrten Guinevere zu erscheinen und eine Nacht mit ihm zu verbringen.",1.0
